Word,ValenceMean,ValenceSD,%ValenceRaters ,ArousalMean,ArousalSD,%ArousalRaters
acompañar,7.05,1.23,100,4.2,1.94,100
acondicionado,6.45,1.54,100,3.7,1.81,100
acondicionamiento,5.85,1.18,100,4.8,1.77,100
aconsejable,6.3,1.3,100,4.3,1.75,100
aconsejar,6.95,1.23,100,4.05,1.76,100
acontecer,5.85,0.93,100,4.7,2,100
acontecimiento,6.2,1.7,100,5.85,1.81,100
acopio*,5.22,0.67,45,5.15,0.69,65
acoplamiento,5.05,0.94,100,4.8,1.36,100
acorazado,5,1.34,100,5.8,1.7,100
acordar,6.75,1.59,100,4.75,1.86,100
acorde,6.3,1.49,100,4.5,1.54,100
acordeón,6.1,1.17,100,4,1.52,100
acortar,4.8,1.01,100,5.25,1.68,100
acosar,2.15,1.18,100,7.55,1.32,100
acoso,1.5,0.69,100,7.7,1.17,100
acostar,7.05,1.15,100,2.95,1.82,100
acostumbrar,5.05,1.57,100,4.25,1.68,100
acre*,5.22,0.67,45,4.75,0.94,60
acrecentar,5.55,1.47,100,5.83,0.99,90
acreditación,5.85,1.09,100,5.4,1.6,100
acreditar,5.6,1.57,100,4.95,1.23,100
acreedor,4.35,1.5,100,5.6,1.35,100
acrílico,5.55,1.57,100,4.56,1.65,90
acritud,4.4,1.4,75,5.71,0.99,85
acrónimo,5,0.38,75,4.37,1.61,95
acta,5.15,0.75,100,5.05,1.7,100
actitud,6.45,1.7,100,5.4,1.76,100
activa,7.05,1.36,100,6.9,1.62,100
activación,7,1.49,100,6.65,1.27,100
activar,6,1.21,100,6.35,1.23,100
actividad,5.84,1.17,95,5.95,1.7,100
activismo,6.15,1.66,100,6.2,1.64,100
activista,5.95,1.23,100,5.9,1.74,100
acto,5.75,1.21,100,5.55,1.57,100
actor,6.6,1.43,100,5.65,1.6,100
actora,5.53,1.85,75,5.31,0.6,80
actriz,6.5,1.43,100,5,1.41,100
actúa,5.9,1.07,100,5.9,1.52,100
actuación,6.15,1.31,100,6.5,1.19,100
actual,5.95,1.05,100,4.8,1.44,100
actualidad,5.6,1.35,100,5.65,1.23,100
actualización,5.8,1.11,100,5.35,1.23,100
actualizar,6.2,1.4,100,5.35,1.5,100
actuar,6.25,1.12,100,5.8,1.67,100
actuaré,6.15,1.27,100,6.35,1.46,100
actuaría,6,1.56,100,5.55,1.05,100
actúo,5.8,1.2,100,5.74,0.87,95
acuarela,6.45,1.36,100,3.95,1.61,100
acuática,6.15,1.18,100,4.6,1.7,100
acuático,6.45,1.43,100,4.55,2.04,100
acuciante*,4.5,0.76,40,5.2,0.45,25
acudir,6.1,1.17,100,5.45,1.7,100
acueducto,5.45,0.83,100,4.15,1.66,100
acuerdo,6.6,1.34,100,4.3,1.76,100
acuicultura,5.4,1.12,75,4.36,0.93,70
acumulación,4.15,1.69,100,5.35,1.76,100
acumular,4.7,1.34,100,5.2,1.58,100
acuñado,4.8,0.7,100,4.55,1.36,100
acuñar,5,0.58,95,5.11,1.29,95
acurrucado,7.85,0.99,100,2.58,1.71,95
acurrucarse,7.83,1.11,100,2.83,2.12,100
acusación,2.4,1.05,100,6.7,1.72,100
acusador,2.7,0.92,100,6.4,1.31,100
acusar,2.55,1.32,100,7.25,0.97,100
acuse,4.45,1.05,100,6.11,1.2,95
acústica,6.05,1.28,100,4.15,2.41,100
ada*,6.38,1.41,40,3.9,1.6,50
adaptabilidad,6.5,1.19,100,5.05,2.21,100
adaptación,5.85,1.09,100,4.75,2.22,100
adaptar,6.35,1.09,100,5,1.65,100
adecuar,5.95,1.32,100,4.6,1.54,100
adelantar,6.3,1.26,100,6.25,1.65,100
adelante,6.95,1.36,100,5.65,1.5,100
adelanto,6.55,1.54,100,5.65,1.27,100
ademán,5.07,0.46,75,4.42,1.56,60
además,6,1.38,100,4.9,1.33,100
adentrar,5.9,0.97,100,5.3,1.63,100
adentro,5.45,0.69,100,4.4,1.35,100
adherencia,5.47,1.47,95,4.55,1.43,100
adherir,5.2,0.62,100,5.1,1.07,100
adhesión,5.21,0.98,95,5.45,1.54,100
adicción,3.05,2.21,100,7.05,1.64,100
adición,3.2,1.4,100,6.8,1.24,100
adicional,5.4,1.14,100,5.3,0.8,100
adicto,2.6,1.23,100,7.05,1.23,100
adiestramiento,5.35,1.18,100,5.8,1.11,100
adinerado,5.69,1.95,97.5,5.8,1.73,100
aditivo,4.37,1.46,95,6,1.34,100
adivina,5.4,1.05,100,4.85,1.84,100
adivinación,5.2,1.54,100,5.65,1.98,100
adivinar,6.15,1.53,100,6,0.92,100
adivino,5.4,1.19,100,5.8,1.28,100
adjetivo,4.95,1.19,100,4.95,0.94,100
adjudicación,5.15,1.42,100,5.75,0.91,100
adjudicar,6.25,1.59,100,5.65,1.46,100
adjunta,5.1,0.45,100,4.6,1.27,100
adjunto,5.1,0.72,100,4.3,1.26,100
administración,4.6,1.1,100,5.5,1.76,100
administrador,5.65,0.99,100,4.9,1.41,100
administrar,5.05,1.1,100,5.1,1.86,100
administrativa,5.3,0.8,100,4.8,1.61,100
admirable,7.35,1.23,100,6.4,1.96,100
admiración,7.8,1.11,100,6,2.32,100
admirado,7.45,1.24,100,5.7,1.87,100
admirador,7.35,1.09,100,4.85,2.11,100
admirar,7.15,1.27,100,5.65,2.13,100
admisible,5.7,1.49,100,4.95,1.19,100
admisión,6.9,1.45,100,5.2,1.54,100
admitir,6.2,1.15,100,5.1,1.25,100
adobe,5.37,0.6,95,4.61,1.2,90
adolecer,3.58,1.24,60,5.35,1.5,100
adolescencia,6.05,1.7,100,6.25,1.89,100
adolescente,6.35,1.31,100,6.15,1.35,100
adopción,7.4,1.5,100,4.9,2.29,100
adoptar,6.75,1.68,100,5.55,2.09,100
adoptivo,5.95,1.39,100,5.15,1.95,100
adorable,7.48,1.41,100,4.05,2.7,100
adoración,5.75,2.49,100,4.25,1.92,100
adorar,6.7,1.84,100,5.1,1.86,100
adornado,7.2,1.15,100,5.1,1.55,100
adornar,6.6,1.43,100,4.65,1.87,100
adorno,6.75,1.29,100,4.6,1.57,100
adosada,5.47,0.96,95,4.32,1.2,95
adosado,5.95,1.54,100,4.45,2.01,100
adquirir,6.95,1.36,100,4.7,1.72,100
adquisición,6.25,1.62,100,5.35,1.31,100
adquisitivo,5.7,1.75,100,5.68,0.89,95
adrenalina,6.85,1.53,100,7.3,1.56,100
adscripción,5.47,0.9,95,5.22,1.35,90
aduana,4.25,2.12,100,5.5,1.61,100
aduanera,4.78,0.73,90,5.21,1.4,95
aducir,5.43,1.22,70,5.08,1.44,65
adulación,5.25,1.44,80,5.25,1.61,80
adulterio,2.5,1.24,100,7.05,1.79,100
adulto,5.78,1.59,100,5.23,1.42,100
advenimiento,5.06,1.34,80,5.36,0.5,70
adverbio,4.9,0.64,100,5.05,1.32,100
adversario,4.4,2.04,100,6.25,1.68,100
adversidad,2.85,1.69,100,6.55,1.93,100
adverso,3.85,1.66,100,5.85,1.39,100
advertencia,4.15,1.35,100,6.7,1.66,100
advertir,4.3,1.59,100,6.1,1.25,100
advocación*,4.82,0.98,55,5.14,1.21,35
adyacente,5.25,0.79,100,4.75,0.91,100
aérea,5.55,1.19,100,5.6,1.05,100
aéreo,6.35,1.27,100,5.4,1.31,100
aeróbic,5.95,1.61,100,6.75,1.45,100
aeródromo,5.16,0.9,95,5.79,1.03,95
aeroespacial,5.25,0.91,100,6.35,1.69,100
aerolínea,5.8,1.4,100,5.9,1.29,100
aeronáutica,5.15,1.18,100,5.8,1.24,100
aeronave,5.35,0.93,100,5.75,1.71,100
aeroplano,5.45,0.94,100,5.75,1.25,100
aeropuerto,5.95,1.7,100,6.05,2.09,100
afable,6.68,1.34,95,3,1.63,95
afamado,5.39,1.2,90,5.74,1.56,95
afán,5.75,1.29,100,6.35,1.35,100
afasia,2.79,1.58,70,5.5,1.37,80
afección,3.53,1.01,85,5.95,1.96,100
afecta,3.3,1.03,100,5.8,1.32,100
afectación,3.5,1.28,100,6.65,1.18,100
afectar,3.9,1.45,100,6.6,1.19,100
afectiva,6.9,1.37,100,4.4,2.64,100
afecto,7.9,1.34,100,4.65,2.66,100
afectuosa,6.9,1.8,100,4.75,2.15,100
afeitar,4.65,1.27,100,4.75,1.16,100
aferrar,4.8,1.79,100,5.25,1.16,100
afgano,4.69,0.95,80,5.89,1.81,90
afianza,5.4,0.82,100,4.16,1.57,95
afianzar,6.03,1.21,100,4.58,1.85,100
afianzaré,5.15,1.73,100,5.25,1.45,100
afianzaría,5.56,0.98,90,5.16,0.76,95
afianzo,5.55,1.32,100,4.45,1.43,100
afición,6.9,1.07,100,5.5,1.96,100
aficionado,6,1.08,100,6.05,1.54,100
afiliación,5.5,1.4,100,5.5,1.1,100
afiliar,5.2,1.01,100,5.63,1.34,95
afín,7.47,1.26,95,5,1.72,100
afinación,6.25,1.12,100,5.3,1.13,100
afinar,5.95,1.32,100,4.35,1.73,100
afincado,5.16,0.83,95,3.75,1.06,80
afinidad,7.3,1.3,100,4.95,2.01,100
afirmación,6.75,1.41,100,4.8,1.61,100
afirmar,6.1,1.37,100,4.75,1.25,100
afirmativo,6.3,1.22,100,5,1.75,100
aflicción,4.25,1.62,100,5.89,1.82,95
afligido,2.92,1.18,90,5.73,1.34,100
aflojar,4.75,1.29,100,3.3,1.17,100
afluencia,5.21,1.36,95,5.35,1.69,100
afluente,5.2,0.41,100,3.95,1.36,100
aforo,5.05,0.89,100,5.58,1.74,95
afortunado,7.85,1.1,100,5.63,2.72,100
afrenta,4.6,0.84,50,5.19,0.66,80
áfrica,5.75,1.89,100,5.2,1.67,100
afroamericano,5.5,1.05,100,4.3,1.78,100
afrontar,6.75,1.83,100,7.25,1.16,100
aftosa*,5,0,10,6,2,20
afuera,5.25,1.07,100,5.3,1.45,100
agachar,4.75,0.79,100,4.5,1.24,100
agarrado,4.25,1.65,100,5.05,1.79,100
agarrar,5.15,1.09,100,6.05,1.23,100
agarre,4.8,1.44,100,5.45,1.47,100
ágata,5.59,1.06,85,4.57,1.22,70
agencia,4.9,0.55,100,5.55,1.43,100
agenda,5.15,1.18,100,5.55,1.96,100
agente,4.85,1.09,100,5.6,2.16,100
ágil,7.4,1.31,100,4.85,1.73,100
agilidad,7.55,1.19,100,6.05,1.79,100
agilizar,6.1,1.33,100,6.45,1.67,100
agitación,4.35,1.53,100,6.55,1.23,100
agitar,5,0.97,100,6.25,1.25,100
aglomeración,4.05,1.23,100,6.3,1.66,100
aglomerado,4.45,0.76,100,5.7,0.98,100
aglutinar,4.45,1,100,5.5,1.2,90
agobiado,1.88,0.85,100,7.8,1.16,100
agonía,2.3,1.36,100,7.75,1.12,100
agonizante,2.25,1.45,100,7.2,1.4,100
agostar*,5.71,1.5,35,4.75,1.16,40
agosto,7.55,1.39,100,4.05,2.52,100
agotamiento,2.95,1.23,100,4.2,1.58,100
agotar,3.8,1.61,100,5.9,2.05,100
agradable,8,1.12,100,2.8,2.21,100
agradar,7.45,1.67,100,4.8,2.35,100
agradecer,7.35,1.23,100,4.85,2.41,100
agradecido,7.83,1.24,100,3.8,2.73,100
agradecimiento,7.85,1.18,100,4.95,1.82,100
agrado,7.15,1.42,100,4.45,2.24,100
agravamiento,3.1,1.21,100,6.35,1.76,100
agravar,3.45,1.05,100,6.65,1.23,100
agravio,4.06,1.12,80,5.89,0.99,95
agredir,1.85,1.09,100,7.1,1.25,100
agregación,5.7,1.69,100,5.2,1.32,100
agregado,5.2,0.62,100,5.55,0.83,100
agregar,6.75,1.29,100,5.35,1.66,100
agresión,2.03,1.19,100,7.2,1.11,100
agresividad,2.35,0.93,100,7.5,1.24,100
agresivo,2.35,0.99,100,7.73,1.04,100
agresor,2.15,1.18,100,7.5,1.19,100
agreste*,5,0,25,4.27,1.68,55
agria,3.45,1.05,100,6,1.41,95
agrícola,6,1.17,100,4.5,1.43,100
agricultor,5.45,1.28,100,4.45,1.7,100
agricultura,5.9,1.41,100,4.3,1.66,100
agrimensor*,8.25,2.45,100,4.83,0.41,30
agropecuaria,5.27,1.1,55,4.86,0.53,70
agrupación,5.8,1.06,100,5.15,1.6,100
agrupar,5.05,1.23,100,5.35,1.04,100
agua,7.48,1.36,100,3.68,1.93,100
aguacero,4.5,1.64,100,5.5,1.47,100
aguafuerte,4.32,1,95,6.26,1.33,95
aguamarina,6.8,1.24,100,4.15,2.03,100
aguanieve,5.95,1.47,100,4.4,1.54,100
aguantar,4.7,1.63,100,6.25,1.21,100
aguante,5.55,1.85,100,5.85,1.46,100
aguardar,5,1.26,100,4.75,1.52,100
aguardiente,4.5,1.36,100,6.1,1.45,100
agudeza,6.25,1.68,100,5.6,1.64,100
agudo,4.85,1.42,100,5.45,1.05,100
aguijón,3.45,1.61,100,7.15,1.5,100
águila,5.75,0.91,100,5.8,1.54,100
aguilucho,5.44,0.89,80,4.68,1.67,95
aguja,3.95,1.36,100,6.45,1.41,100
agujero,4.4,1.05,100,5.75,1.65,100
ahijada,6.05,1.32,100,5.21,1.62,95
ahijado,6.75,1.52,100,4.32,1.92,95
ahínco,5.53,1.5,85,6.13,1.36,80
ahogar,2.65,1.42,100,7.45,1.1,100
ahogarse,2.08,1.44,100,7.53,1.43,100
ahogo,2,1.03,100,8.1,1.07,100
ahondar,4.58,0.69,95,5.61,0.98,90
ahora,6.7,1.56,100,4.7,1.66,100
ahorra,5.95,2.11,100,5,2.51,100
ahorrar,6.85,1.19,100,5.31,1.9,100
ahorro,6.3,1.87,100,4.85,2.01,100
ahuyentar,4.2,1.67,100,6.3,1.53,100
aire,6.78,2.24,100,3.35,2.11,100
airoso,5.85,1.63,100,4.4,1.96,100
aislamiento,3.05,1.15,100,6.15,1.66,100
aislante,4.4,1.82,100,4.7,1.49,100
aislar,3.05,1.32,100,5.15,2.13,100
ajedrez,5.1,1.21,100,4.5,1.5,100
ajeno,4.95,0.69,100,4.65,1.76,100
ajo,5.1,1.71,100,5.7,1.49,100
ajonjolí*,5.33,0.58,15,3.71,1.7,35
ajuar,5.79,1.13,95,5.29,1.96,85
ajustar,5.1,0.72,100,5.55,1.1,100
ajuste,5.1,0.72,100,5.25,0.91,100
ala,5.7,1.13,100,4.9,1.02,100
alabado,5.63,0.9,95,5.25,1.45,100
alabanza,6.1,1.29,100,5.95,1.36,100
alabar,6.35,2.08,100,4.7,1.49,100
alabarda*,4.57,0.79,35,5,0.71,25
alabastro*,5.5,1.22,30,4.88,0.35,40
alacena,5.38,1.5,80,4.44,1.5,80
alado,6.46,1.33,65,4.94,1.34,85
alambrado,4.45,1.19,100,5.95,1.54,95
alambre,4.4,0.75,100,5.7,0.86,100
álamo,5.67,1.14,90,4.5,1.47,90
alar,5.23,0.44,65,5.33,1.37,60
alarde,4,1.53,95,5.74,1.19,95
alargar,5.2,1.28,100,5,1.12,100
alarido,3.65,1.73,85,5.93,1.28,75
alarma,3.1,1.41,100,7.15,1.46,100
alarmante,2.9,1.48,100,7.6,1.35,100
alas,7.45,1.57,100,4.7,2.7,100
alba,6.88,1.56,100,3.75,1.68,100
albanesa,5.07,0.26,75,5.06,0.64,90
albañil,4.7,1.08,100,5.1,1.71,100
albaricoque,6.55,1.67,100,3.8,1.85,100
albatros*,5.5,1.27,50,3.88,1.46,40
albedrío,5.45,1.19,100,4.63,1.57,95
albergar,5.58,0.84,95,5.25,1.21,100
albergue,6.2,1.44,100,3.9,2.1,100
albina,5.05,0.62,95,4.6,1.27,100
albornoz,6,1.17,100,3.95,1.54,100
alboroto,4.75,1.8,100,7.25,0.97,100
albufera,5.74,1.19,95,4.07,1.79,75
album,6.65,0.88,100,4.65,1.73,100
álbum,6.3,1.22,100,4.45,1.5,100
alcachofa,4.8,1.85,100,4.2,1.4,100
alcaide,4.5,1.32,80,5.19,0.83,80
alcalde,4.65,1.09,100,5.25,1.97,100
alcaldesa,4.6,1.23,100,5.05,1.43,100
alcaldía,4.05,1.19,100,5.5,1.32,100
alcance,6,1.17,100,5.21,1.47,95
alcantarillado,4.6,1.1,100,5.55,1.23,100
alcanza,6.65,1.63,100,4.7,1.84,100
alcanzar,6.8,1.28,100,5.85,1.87,100
alcanzaré,7.55,1.1,100,5.7,2.03,100
alcanzaría,5.65,1.09,100,5.63,1.54,95
alcanzo,6.65,1.46,100,5.65,1.6,100
alcayata,4.76,0.66,85,5.16,1.38,95
alcázar,5.61,1.14,90,4.94,1.3,90
alce,6,1.25,95,4.58,1.46,95
alcista*,4.57,1.13,35,5.11,0.78,45
alcoba,5.84,0.96,95,3.7,2.11,100
alcohol,4.85,2.21,100,6.75,1.45,100
alcohólica,3.3,2.25,100,6.85,1.87,100
alcohólico,2.43,1.57,100,6.9,1.13,100
alcoholismo,1.6,0.82,100,6.85,1.63,100
alcornoque,5.45,1.23,100,4.6,1.14,100
aldea,5.9,1.37,100,2.85,1.73,100
ale,5.4,0.97,50,4.82,1.47,55
aleación,5.47,1.02,95,4.94,1.43,90
aleatorio,5.1,0.91,100,5.35,1.87,100
alegación,4.7,1.03,100,5.44,1.42,90
alegar,5.75,1.48,100,6,1.45,100
alegato,5.11,0.74,95,5.71,1.26,85
alegoría,5.73,1.03,75,5.05,1.22,95
alegórica,5.33,1.14,90,5.21,1.55,95
alegra,8.2,1.2,100,6,1.34,100
alegrar,8.3,1.08,100,6.75,2.27,100
alegre,8.5,0.91,100,5.68,3.02,100
alegría,8.35,1.69,100,6.75,2.51,100
alegro,7.15,1.53,100,5.79,1.93,95
alejamiento,3.4,0.99,100,5.15,2.11,100
alejar,2.95,1.19,100,6.4,1.35,100
alelí,6,1.41,65,4.45,1.51,55
alemán,5.2,1.85,100,5.6,1.1,100
alentador,6.68,1.8,95,4.35,2.5,100
alentar,6.5,1.32,100,4.65,1.69,100
alergia,4,2.64,100,6.18,0.98,100
alero,5.13,0.35,75,4.93,1.33,70
alerta,4.35,0.99,100,7.28,1.4,100
alertar,4.4,1.76,100,6.9,1.25,100
aleta,5.4,0.94,100,5.2,1.28,100
aletas,5.45,1,100,5.35,1.39,100
aleteo,6,1.86,100,4.1,1.68,100
alfa,5.7,1.45,100,4.95,0.97,95
alfabético,4.85,1.04,100,5.15,1.39,100
alfabetización,6.95,1.85,100,3.8,1.96,100
alfabeto,6,1.41,100,4.75,1.89,100
alfalfa,5.61,1.42,90,4.4,1.57,100
alfarería,5.15,0.75,100,4.11,1.52,95
alfarero,5.55,0.76,100,4.5,1.5,90
alfeizar*,5.43,0.53,35,4.53,1.68,75
alférez,5,0.41,65,5.38,0.89,80
alfil,5.25,0.97,100,4.25,1.95,80
alfiler,4.6,0.88,100,5,1.34,100
alfombra,5.3,0.57,100,3.65,1.69,100
alga,4.65,1.66,100,4.65,2.03,100
algarabía,4.88,1.86,80,6.27,1.33,75
algarrobo,5.28,1.07,90,4.83,0.62,90
álgebra,3.95,1.15,100,5.55,1.93,100
algebraica,4.2,1.44,100,5.8,1.28,100
álgido,5.31,1.25,65,5.38,1.36,80
algo,5.15,0.59,100,4.85,1.27,100
algodón,6.05,1.19,100,3.05,1.67,100
algoritmo,4.2,1.06,100,5.5,1.36,100
alguacil,4.44,1.04,90,5.1,1.33,100
alguna,5.15,0.93,100,4.75,1.29,100
alguno,5.5,1.1,100,4.1,1.37,100
alhambra,6.75,1.71,100,4.5,2.28,100
aliado,6.6,1.7,100,4.55,2.44,100
alianza,6.1,1.68,100,6,2.25,100
aliar,5.8,1.24,100,5.32,1.83,95
alicates,4.8,0.83,100,5.55,1.28,100
aliciente,6.79,1.27,95,4.65,1.63,100
alienación,5.06,1.44,80,5.11,1.33,95
alienígena,4.6,1.5,100,6.45,1.76,100
aliento,5,1.69,100,5.65,1.73,100
